SC_ALL_Plvl,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
SC_all_p2,20,3,0.816496581,104334.5,104334.5,18026.5
SC_all_p2,16,3.5,0.5,6302,6302,0
SC_all_p2,22,2.25,1.479019946,114386.6667,114386.6667,93435.61768
SC_all_p2,15,2.5,0.5,47707,47707,4557
SC_all_p2,27,2,0,313122,295041,57153.61897
SC_all_p2,19,2.2,0.4,244907.8,244907.8,154883.3099
SC_all_p2,9,2.5,0.5,200759.5,200759.5,166605.5
SC_all_p2,17,3,1,11573,11573,0
SC_all_p2,12,3,0,33624,33624,0
SC_all_p2,7,1,0,10959,10959,0
SC_all_p2,7,4,0,0,0,0
SC_all_p2,9,4,0,2446,2446,0
SC_all_p2,6,2,0,66967,66967,55394
SC_all_p2,7,3,0,33624,33624,0
SC_all_p2,9,2,0,184242.5,184242.5,183122.5
SC_all_p2,5,2,0,23234,23234,0
SC_all_p2,12,2.333333333,0.471404521,49229.33333,49229.33333,51902.27138
SC_all_p2,12,3,0.816496581,57188.66667,57188.66667,50170.07464
SC_all_p2,9,3,0,33624,33624,0
SC_all_p2,6,2,0,233414,233414,0
SC_all_p2,4,3,0,996,996,0
SC_all_p2,4,2,0,367365,367365,0
SC_all_p2,3,1,0,81912,81912,0
SC_all_p2,6,2,0,284344,284344,0
SC_all_p2,8,0,0,0,0,0
SC_all_p2,8,2,0,7990,7990,0
SC_all_p2,9,2,0,233414,233414,0
SC_all_p2,8,2,0,7793,7793,2808
SC_all_p2,13,2,0,3480,3480,0
SC_all_p2,64,6,0,0,0,0
SC_all_p2,11,3,0,32,32,0
SC_all_p2,24,2.75,1.299038106,47531,47531,53183.45384
SC_all_p2,28,1.666666667,0.745355993,178972.6667,178972.6667,245562.3804
SC_all_p2,26,3,1.414213562,325854.5,325854.5,41510.5
SC_all_p2,15,3,0,880,880,0
SC_all_p2,15,3,0,32,32,0
SC_all_p2,7,1.5,1.5,58923.5,58923.5,45645.5
SC_all_p2,52,3.166666667,1.67497927,325854.5,339691.3333,41510.5
SC_all_p2,17,0,0,0,0,0
SC_all_p2,15,2,1.414213562,58314.5,58314.5,32623.5
SC_all_p2,5,0,0,0,0,0
SC_all_p2,4,0,0,0,0,0
SC_all_p2,19,2,0,258023.3333,258023.3333,101739.2849
SC_all_p2,20,0,0,0,0,0
SC_all_p2,7,0,0,0,0,0
SC_all_p2,4,0,0,0,0,0
SC_all_p2,3,0,0,0,0,0
SC_all_p2,17,4,0,0,0,0
SC_all_p2,27,2.5,0.5,14346,14346,13491
SC_all_p2,11,1,0,19220,19220,0
SC_all_p2,5,1,0,81912,81912,0
SC_all_p2,8,3,0,299,299,0
SC_all_p2,25,3,0.816496581,17110,17110,13011
SC_all_p2,14,3,0,855,855,0
SC_all_p2,8,0,0,0,0,0
SC_all_p2,18,2,0.816496581,104681.6667,104681.6667,127348.4248
SC_all_p2,8,3,0,33624,33624,0
SC_all_p2,9,2,0,44,44,0
SC_all_p2,13,1,0,10959,10959,0
SC_all_p2,25,4,0,95,95,0
SC_all_p2,7,3,0,374,374,0
SC_all_p2,8,2,0,233414,233414,0
SC_all_p2,16,2,0,84826,121973,105067.5824
SC_all_p2,11,2.5,0.5,2304.5,2304.5,1794.5
SC_all_p2,13,3,0,880,880,0
SC_all_p2,10,4,0,170,170,0
SC_all_p2,4,0,0,0,0,0
SC_all_p2,15,3,1,284344,284344,0
SC_all_p2,73,3.333333333,1.105541597,5840.5,5840.5,4465.866685
SC_all_p2,20,2,1,19484.5,19484.5,6206.5
SC_all_p2,7,1.5,0.5,224638.5,224638.5,142726.5
SC_all_p2,10,2,0,142427,142427,141917
SC_all_p2,15,2.333333333,0.471404521,200317,200317,151721.7483
SC_all_p2,5,1.5,0.5,385069.5,385069.5,299179.5
SC_all_p2,6,2,0,367365,367365,0
SC_all_p2,6,2,0,244863,244863,122502
SC_all_p2,13,2,0,367365,367365,0
SC_all_p2,15,1.666666667,0.942809042,55038,55038,38005.57528
SC_all_p2,12,3,0,32,32,0
SC_all_p2,15,2,1.414213562,58314.5,58314.5,32623.5
SC_all_p2,6,0,0,0,0,0
SC_all_p2,6,2,0,233414,233414,0
SC_all_p2,22,1.666666667,0.471404521,32947,32947,33110.86052
SC_all_p2,11,2,0,9772,9772,0
SC_all_p2,23,3,0.816496581,10743.5,10743.5,211.5
SC_all_p2,19,5,0,57,57,0
SC_all_p2,8,1,0,19220,19220,0
SC_all_p2,27,3,0.707106781,72192,72192,95269.87873
SC_all_p2,13,2.5,0.5,121441,121441,111973
SC_all_p2,7,0,0,0,0,0
SC_all_p2,8,0,0,0,0,0
SC_all_p2,15,3,1,7224,7224,0
SC_all_p2,29,2.333333333,0.942809042,201684.1667,201684.1667,244780.2869
SC_all_p2,15,2.5,0.5,116817,116817,116597
SC_all_p2,12,4,0,871,871,0
SC_all_p2,17,0,0,0,0,0
SC_all_p2,22,5,2,451,451,0
SC_all_p2,16,2.333333333,0.471404521,158765.3333,121441,105569.1568
SC_all_p2,6,0,0,0,0,0
SC_all_p2,18,2,0.707106781,193603.75,193603.75,285331.0832
SC_all_p2,6,0,0,0,0,0
SC_all_p2,28,2.5,1.118033989,42581.6,42581.6,43784.11822
SC_all_p2,9,3,0,105,105,0
SC_all_p2,18,0,0,0,0,0
SC_all_p2,34,3,0.707106781,105010,105010,152893.7516
SC_all_p2,11,0,0,0,0,0
SC_all_p2,40,2.75,1.299038106,42815.5,42815.5,50799.49746
SC_all_p2,26,2.4,0.489897949,172066.2,172066.2,134218.9701
SC_all_p2,18,2,0,233414,233414,0
SC_all_p2,17,2.5,0.5,226479.5,226479.5,140885.5
SC_all_p2,24,1,0,684249,684249,0
SC_all_p2,27,2.5,1.38443731,96096.6,96096.6,141260.1039
SC_all_p2,13,2,0.816496581,231272,231272,320316.4497
SC_all_p2,14,2,0,233414,233414,0
SC_all_p2,35,2.5,1.224744871,98522,98522,119767.9321
SC_all_p2,17,2,0,2309,2309,0
SC_all_p2,10,2,0,233414,233414,0
SC_all_p2,9,0,0,0,0,0
SC_all_p2,10,2,0,367365,367365,0
SC_all_p2,23,3.333333333,0.471404521,1562,1562,1565.7305
SC_all_p2,20,2,0.632455532,144015.4,179908.75,270409.6449
SC_all_p2,24,2.333333333,0.471404521,175742,175742,119397.7904
SC_all_p2,28,2.5,1.118033989,230096,230096,321135.19
SC_all_p2,37,2.166666667,0.372677996,100795.1667,74271.4,98353.19209
SC_all_p2,33,2.333333333,1.247219129,141271,141271,141835.8981
SC_all_p2,5,3,0,14899,14899,0
SC_all_p2,10,0,0,0,0,0
SC_all_p2,14,4,1,230,230,0
SC_all_p2,21,3.5,1.5,1773,1773,0
SC_all_p2,34,2.666666667,1.374368542,24223.8,24223.8,40185.50507
SC_all_p2,14,2.333333333,0.471404521,8980.333333,8980.333333,7531.328893
SC_all_p2,40,2.142857143,0.989743319,37721.42857,37721.42857,37525.725
SC_all_p2,38,2.4,0.489897949,151824.6,151824.6,175999.6528
SC_all_p2,27,2.25,0.433012702,175973.5,118533,99489.86441
SC_all_p2,8,0,0,104569,104569,0
SC_all_p2,11,0,0,0,0,0
