SC_BGT_Plvl,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
SC_BGT_p4,137,3,1.290994449,159414.7333,159414.7333,268989.8317
SC_BGT_p4,155,2.346153846,0.829379179,156272.68,134273.6667,244598.9861
SC_BGT_p4,248,2.4,1.181336343,79917.10811,82100.97222,175458.378
SC_BGT_p4,547,2.52,1.195658814,109493.3882,105253.4267,202314.8906
SC_BGT_p4,292,2.119047619,1.073542887,147247.9231,157699.0294,226915.9294
SC_BGT_p4,186,2.382352941,1.137973066,130476.5625,93558.4,242446.5583
SC_BGT_p4,374,2.347826087,1.139871426,160448.9231,81780.54902,244719.6371
SC_BGT_p4,114,2.181818182,1.301620097,244463.9524,233969.9474,296100.32
SC_BGT_p4,240,2.307692308,1.538461538,156277.7941,153793.7,220151.2518
SC_BGT_p4,277,2.25,0.924211376,178254.5116,173079.4146,260920.6202
SC_BGT_p4,675,2.578947368,1.220402126,111202.3077,93340.69565,199758.7542
SC_BGT_p4,132,2.625,0.992156742,72158.77273,72158.77273,145616.0414
SC_BGT_p4,117,2.25,0.942072184,61300.21053,48908.88889,85147.09603
SC_BGT_p4,66,2.461538462,1.216260639,77205.81818,77205.81818,78025.52647
SC_BGT_p4,100,2.4,0.860232527,127494.75,121920.0526,203978.9374
SC_BGT_p4,301,2.541666667,1.189508535,69935.76744,65511.15789,132224.1662
SC_BGT_p4,182,2.620689655,1.063948181,75289.88462,80751.13043,154365.627
SC_BGT_p4,428,2.857142857,1.22890361,121531.3488,107303.0789,190045.0496
SC_BGT_p4,66,2.5,1.258305739,72690.3,72690.3,80451.79992
SC_BGT_p4,614,2.512195122,1.038806802,92130.25333,78400.7,179884.0799
SC_BGT_p4,574,3.169811321,1.397245931,115539.8605,73680.62162,205327.2596
SC_BGT_p4,429,2.791666667,1.059841445,125970.881,116494.4737,193461.8562
SC_BGT_p4,217,2.325,1.009641025,158689.8889,137094.7647,235384.2729
SC_BGT_p4,221,2.965517241,1.245204833,96320.92,90608.70833,155556.0521
SC_BGT_p4,563,3.092592593,1.337057556,113157.4773,72023.63158,203579.5998
SC_BGT_p4,690,2.516853933,1.071724008,86192.95122,74098.4,165879.8163
SC_BGT_p4,15,3,0.816496581,28904.33333,28904.33333,40296.13017
SC_BGT_p4,144,2.379310345,0.997022917,167737.1071,148762.7917,230422.0944
SC_BGT_p4,161,3.037037037,1.035713441,104383.6522,98518.63636,167462.6347
SC_BGT_p4,143,2.04,0.823650411,158471.6364,152477.7143,260083.0986
SC_BGT_p4,189,2.344827586,1.059468379,97683.15385,101365.92,183085.2648
SC_BGT_p4,101,2.1875,0.807677999,99261.5625,99261.5625,172453.7801
SC_BGT_p4,78,2.058823529,0.725225177,209521.5882,208028.3125,248987.1237
SC_BGT_p4,187,2.59375,0.99559577,119970.7407,121292.9231,187175.7994
SC_BGT_p4,235,2.540540541,1.055093043,96737.14286,69859.72414,148651.7109
SC_BGT_p4,125,2.428571429,0.954758936,92158.05,82043,158453.7774
